idporto,locode,nome,localita,tipo_amministrazione_porto,rilievo_nazionale,rilevanza_nazionale,caso_speciale,note_caso_speciale,lat,lon
17912,ITMPS,Melito di Porto Salvo,Melito Di Porto Salvo,TERRITORIALE,NO,NO,NO,,,
56970,ITSAX,Sant Angelo in Vado,Sant Angelo In Vado,TERRITORIALE,NO,NO,NO,,,
15927,ITNTA,Sant' Antioco,Sant' Antioco,NAZIONALE,NO,NO,NO,,39.0666666667,8.45
15961,ITPMO,Palermo,Palermo,NAZIONALE,NO,SI,NO,,38.1285666667,13.3672722222
15958,ITPLN,Palinuro,Palinuro,TERRITORIALE,NO,NO,NO,,40.05,15.2833333333
15960,ITPMM,Palmi,Palmi,TERRITORIALE,SI,SI,NO,,38.3904611111,15.8619888889
15943,ITPAN,Panarea,Panarea,TERRITORIALE,NO,NO,NO,,,
15920,ITMSN,Messina,Messina,NAZIONALE,NO,SI,NO,,38.1892027778,15.5609138889
16349,ITMLZ,Milazzo,Milazzo,NAZIONALE,NO,SI,NO,,38.2164722222,15.2428833333
16345,ITMIM,Mili Marina,Mili Marina,TERRITORIALE,NO,NO,NO,,38.1166666667,15.5166666667
17033,ITMIS,Misano Adriatico,Misano Adriatico,TERRITORIALE,NO,NO,NO,,43.9666666667,12.7
15931,ITODB,Mola di Bari,Mola Di Bari,TERRITORIALE,SI,NO,NO,,41.05,17.0833333333
16355,ITMOL,Molfetta,Molfetta,NAZIONALE,NO,NO,NO,,,
16545,ITMND,Mondello,Mondello,TERRITORIALE,NO,NO,NO,,38.2,13.3333333333
15932,ITODG,Mondragone,Mondragone,TERRITORIALE,SI,NO,NO,,41.1166666667,13.9
16352,ITMNF,Monfalcone,Monfalcone,NAZIONALE,SI,SI,NO,,45.788976,13.536257
16353,ITMNP,Monopoli,Monopoli,NAZIONALE,NO,SI,NO,,40.9554222222,17.3030305556
16348,ITMLS,Montalto di Castro,Montalto Di Castro,TERRITORIALE,NO,NO,NO,,42.35,11.6
56964,ITMO4,Montechiaro d Asti,Montechiaro D Asti,TERRITORIALE,NO,NO,NO,,,
56963,ITMFO,Montefiorino,Montefiorino,TERRITORIALE,NO,NO,NO,,,
56961,ITFLL,Montefollonico,Montefollonico,TERRITORIALE,NO,NO,NO,,,
16084,ITRSM,Monterosso al Mare,Monterosso Al Mare,TERRITORIALE,NO,NO,NO,,44.15,9.65
16186,ITUGG,Muggia,Muggia,TERRITORIALE,SI,NO,NO,,45.6,13.7666666667
18428,ITMUT,Multedo,Multedo,TERRITORIALE,NO,NO,NO,,,
15922,ITNAP,Napoli,Napoli,NAZIONALE,SI,SI,NO,,40.8397722222,14.2762805556
17129,ITNTT,Nettuno,Nettuno,TERRITORIALE,NO,NO,NO,,41.4666666667,12.6833333333
15925,ITNLI,Noli,Noli,TERRITORIALE,NO,NO,NO,,44.2,8.4166666667
15929,ITNTO,Noto,Noto,TERRITORIALE,NO,NO,NO,,36.8833333333,15.0666666667
56965,ITNSR,Nova Siri,Nova Siri,TERRITORIALE,NO,NO,NO,,,
16822,ITNUM,Numana,Numana,TERRITORIALE,NO,NO,NO,,43.5,13.6166666667
15937,ITOGN,Ognina,Ognina,TERRITORIALE,SI,NO,NO,,36.9833333333,15.25
16097,ITSAG,Sant'Agata di Militello,Sant'agata Di Militello,TERRITORIALE,NO,NO,NO,,38.0666666667,14.6333333333
15938,ITOLB,Olbia,Olbia,NAZIONALE,SI,SI,NO,Mantiene autonomia finanziaria ed amministrativa fino al 31/12/2016,40.9235861111,9.5192972222
15939,ITONE,Oneglia,Oneglia,TERRITORIALE,NO,NO,NO,,,
17130,ITOBT,Orbetello,Orbetello,TERRITORIALE,NO,NO,NO,,42.4333333333,11.2166666667
16047,ITQOS,Oristano,Oristano,NAZIONALE,NO,SI,NO,,39.8625833333,8.5519055556
15941,ITOTN,Ortona,Ortona,NAZIONALE,NO,SI,NO,,42.3513583333,14.411925
16108,ITSIT,Ostia,Ostia,TERRITORIALE,NO,NO,NO,,41.75,12.3
37581,ITotz,Ozegna,Ozegna,TERRITORIALE,NO,NO,NO,,,
56974,ITVXP,Pago Veiano,Pago Veiano,TERRITORIALE,NO,NO,NO,,,
15944,ITPAU,Palau,Palau,NAZIONALE,NO,NO,NO,,,
16045,ITPVE,Portoscuso (Porto Vesme),Portoscuso (porto Vesme),NAZIONALE,NO,SI,NO,,39.1974777778,8.3899333333
15966,ITPOS,Positano,Positano,TERRITORIALE,NO,NO,NO,,,
16046,ITPZL,Pozzallo,Pozzallo,NAZIONALE,NO,NO,NO,,,
15964,ITPNL,Pantelleria,Pantelleria,NAZIONALE,NO,NO,NO,,,
16071,ITRAN,Ravenna,Ravenna,NAZIONALE,NO,SI,NO,,44.4566861111,12.2486361111
16074,ITREC,Recco,Recco,TERRITORIALE,NO,NO,NO,,44.35,9.1333333333
16075,ITREG,Reggio Calabria,Reggio Calabria,NAZIONALE,NO,SI,NO,,38.1228416667,15.6501833333
16072,ITRCE,Riccione,Riccione,TERRITORIALE,NO,NO,NO,,44,12.65
56969,ITRIN,Rinella,Rinella,TERRITORIALE,NO,NO,NO,,,
16856,ITRMA,Rio Marina,Rio Marina,NAZIONALE,NO,SI,NO,,42.8153444444,10.4297638889
16076,ITRMG,Riomaggiore,Riomaggiore,TERRITORIALE,NO,NO,NO,,44.1,9.7333333333
16081,ITRPT,Riposto,Riposto,TERRITORIALE,NO,NO,NO,,,
17318,ITRTS,Riva Trigoso,Riva Trigoso,TERRITORIALE,NO,NO,NO,,44.25,9.4166666667
16857,ITROC,Roccella Ionica,Roccella Ionica,TERRITORIALE,NO,NO,NO,,38.3166666667,16.4
17280,ITRGG,Rodi Garganico,Rodi Garganico,TERRITORIALE,NO,NO,NO,,,
